x_pos,y_pos
-26.91,1457.59
-227.48,1166.46
-506.6,318.99
-293.21,596.93
-847.76,827.47
-862.44,603.83
-835.42,1266.28
-401.64,399.44
250.48,177.23
-380.31,520.12
-283.22,696.69
252.11,798.5
-513.69,484.73
270.97,1021.56
65.47,562.64
-78.47,1231.77
-585.98,1142.83
-120.4,1287.64
-167.71,511.13
-849.65,1219.8
-89.88,1466.59
0.93,904.01
-1129.81,1225.51
-193.76,431.3
4.73,929.72
-254.41,317.68
-417.64,1466.81
-255.95,636.56
-385.33,342.8
-882.54,910.24
56.13,1486.95
12.43,1138.13
-346.89,414.38
-561.0,534.66
-268.52,-25.95
-234.05,190.76
-542.53,619.85
-415.99,872.8
-438.23,494.66
