x_pos,y_pos
-1343.65,-232.18
-777.93,-490.89
-1049.5,-1203.57
-1046.66,-379.4
-1150.1,-89.43
-1299.63,-821.5
-1491.82,-419.07
-788.42,-417.78
-1317.89,-1046.28
-496.07,-138.18
-656.12,-686.73
-1269.41,-813.54
-696.64,-95.05
-1248.56,-1338.8
-703.73,-131.87
-780.91,-899.38
-1281.97,-1374.81
-1152.58,-856.46
-1238.47,-359.6
-381.56,-173.02
-1436.86,-147.39
-1270.85,-312.66
-1403.24,-884.4
-1211.82,-984.02
-1381.57,-482.16
-745.58,-894.11
-896.05,-62.97
-1365.42,70.4
-745.89,-31.94
-1173.36,-46.66
